,Year,State,CoC Number,Coc,Measures,Homeless,id_county
0,1/1/16,CA,CA-500,Santa Clara,Homeless Individuals,5585,6085
1,1/1/16,CA,CA-501,San Francisco,Homeless Individuals,6309,6075
2,1/1/16,CA,CA-502,Alameda,Homeless Individuals,3148,6001
3,1/1/16,CA,CA-503,Sacramento,Homeless Individuals,1921,6067
4,1/1/16,CA,CA-504,Sonoma,Homeless Individuals,2517,6097
5,1/1/16,CA,CA-505,Contra Costa,Homeless Individuals,1366,6013
6,1/1/16,CA,CA-506,San Benito,Homeless Individuals,2536,6069
7,1/1/16,CA,CA-507,Marin,Homeless Individuals,1070,6041
8,1/1/16,CA,CA-508,Santa Cruz,Homeless Individuals,1454,6087
9,1/1/16,CA,CA-509,Mendocino,Homeless Individuals,1147,6045
10,1/1/16,CA,CA-510,Stanislaus,Homeless Individuals,1147,6099
11,1/1/16,CA,CA-511,San Joaquin,Homeless Individuals,947,6077
12,1/1/16,CA,CA-512,San Mateo,Homeless Individuals,911,6081
13,1/1/16,CA,CA-513,Tulare,Homeless Individuals,646,6107
14,1/1/16,CA,CA-514,Fresno,Homeless Individuals,1684,6019
15,1/1/16,CA,CA-515,Nevada,Homeless Individuals,861,6057
16,1/1/16,CA,CA-516,Del Norte,Homeless Individuals,1065,6015
17,1/1/16,CA,CA-517,Napa,Homeless Individuals,235,6055
18,1/1/16,CA,CA-518,Solano,Homeless Individuals,955,6095
19,1/1/16,CA,CA-519,Butte,Homeless Individuals,440,6007
20,1/1/16,CA,CA-520,Merced,Homeless Individuals,504,6047
21,1/1/16,CA,CA-521,Yolo,Homeless Individuals,322,6113
22,1/1/16,CA,CA-522,Humboldt,Homeless Individuals,989,6023
23,1/1/16,CA,CA-523,Colusa,Homeless Individuals,71,6011
24,1/1/16,CA,CA-524,Yuba,Homeless Individuals,387,6115
25,1/1/16,CA,CA-525,El Dorado,Homeless Individuals,192,6017
26,1/1/16,CA,CA-526,Calaveras,Homeless Individuals,509,6009
27,1/1/16,CA,CA-527,Tehama,Homeless Individuals,103,6103
28,1/1/16,CA,CA-529,Lake,Homeless Individuals,210,6033
29,1/1/16,CA,CA-600,Los Angeles,Homeless Individuals,37726,6037
30,1/1/16,CA,CA-601,San Diego,Homeless Individuals,6955,6073
31,1/1/16,CA,CA-602,Orange,Homeless Individuals,3028,6059
32,1/1/16,CA,CA-603,Santa Barbara,Homeless Individuals,1385,6083
33,1/1/16,CA,CA-604,Kern,Homeless Individuals,875,6029
34,1/1/16,CA,CA-608,Riverside,Homeless Individuals,1900,6065
35,1/1/16,CA,CA-609,San Bernardino,Homeless Individuals,1422,6071
36,1/1/16,CA,CA-611,Ventura,Homeless Individuals,1011,6111
37,1/1/16,CA,CA-612,Glenn,Homeless Individuals,176,6021
38,1/1/16,CA,CA-613,Imperial,Homeless Individuals,280,6025
39,1/1/16,CA,CA-614,San Luis Obispo,Homeless Individuals,1200,6079
40,1/1/16,CA,CA-615,Alpine,Homeless Individuals,110,6003
41,1/1/16,CA,CA-616,Mono,Homeless Individuals,1,6051
42,1/1/16,CA,CA-617,Sutter,Homeless Individuals,2,6101
43,1/1/16,CA,CA-618,Monterey,Homeless Individuals,3,6053
44,1/1/16,CA,CA-619,Plumas,Homeless Individuals,4,6063
45,1/1/16,CA,CA-620,Shasta,Homeless Individuals,5,6089
46,1/1/16,CA,CA-621,Siskiyou,Homeless Individuals,5,6093
47,1/1/16,CA,CA-622,Placer,Homeless Individuals,8,6061
48,1/1/16,CA,CA-623,Kings,Homeless Individuals,65,6031
49,1/1/16,CA,CA-624,Lassen,Homeless Individuals,4,6035
50,1/1/16,CA,CA-625,Tuolumne,Homeless Individuals,3,6109
51,1/1/16,CA,CA-626,Modoc,Homeless Individuals,2,6049
52,1/1/16,CA,CA-627,Sierra,Homeless Individuals,2,6091
53,1/1/16,CA,CA-628,Trinity,Homeless Individuals,1,6105
54,1/1/16,CA,CA-629,Madera,Homeless Individuals,3,6039
55,1/1/16,CA,CA-630,Inyo,Homeless Individuals,4,6027
56,1/1/16,CA,CA-631,Amador,Homeless Individuals,6,6005
57,1/1/16,CA,CA-632,Mariposa,Homeless Individuals,7,6043
