State,Year,Count
Alabama,1/1/07,4184
Alabama,1/1/08,4086
Alabama,1/1/09,4686
Alabama,1/1/10,4553
Alabama,1/1/11,4325
Alabama,1/1/12,3825
Alabama,1/1/13,3387
Alabama,1/1/14,3115
Alabama,1/1/15,2868
Alabama,1/1/16,3019
Alaska,1/1/07,1062
Alaska,1/1/08,1067
Alaska,1/1/09,1239
Alaska,1/1/10,1118
Alaska,1/1/11,1286
Alaska,1/1/12,1298
Alaska,1/1/13,1362
Alaska,1/1/14,1209
Alaska,1/1/15,1342
Alaska,1/1/16,1527
Arizona,1/1/07,10020
Arizona,1/1/08,8428
Arizona,1/1/09,9959
Arizona,1/1/10,9226
Arizona,1/1/11,6403
Arizona,1/1/12,6310
Arizona,1/1/13,6510
Arizona,1/1/14,6194
Arizona,1/1/15,6548
Arizona,1/1/16,6659
Arkansas,1/1/07,2987
Arkansas,1/1/08,2625
Arkansas,1/1/09,2181
Arkansas,1/1/10,2120
Arkansas,1/1/11,2505
Arkansas,1/1/12,3428
Arkansas,1/1/13,3174
Arkansas,1/1/14,2303
Arkansas,1/1/15,1833
Arkansas,1/1/16,1838
California,1/1/07,110952
California,1/1/08,109050
California,1/1/09,97534
California,1/1/10,96940
California,1/1/11,97964
California,1/1/12,94888
California,1/1/13,93458
California,1/1/14,90765
California,1/1/15,93156
California,1/1/16,97660
Colorado,1/1/07,6844
Colorado,1/1/08,6260
Colorado,1/1/09,7401
Colorado,1/1/10,7574
Colorado,1/1/11,4546
Colorado,1/1/12,5101
Colorado,1/1/13,4664
Colorado,1/1/14,5573
Colorado,1/1/15,5729
Colorado,1/1/16,6450
Connecticut,1/1/07,3173
Connecticut,1/1/08,2773
Connecticut,1/1/09,2773
Connecticut,1/1/10,2993
Connecticut,1/1/11,3071
Connecticut,1/1/12,2906
Connecticut,1/1/13,3101
Connecticut,1/1/14,3069
Connecticut,1/1/15,2719
Connecticut,1/1/16,2570
Delaware,1/1/07,716
Delaware,1/1/08,652
Delaware,1/1/09,776
Delaware,1/1/10,681
Delaware,1/1/11,663
Delaware,1/1/12,611
Delaware,1/1/13,575
Delaware,1/1/14,584
Delaware,1/1/15,602
Delaware,1/1/16,753
Florida,1/1/07,33040
Florida,1/1/08,32959
Florida,1/1/09,34432
Florida,1/1/10,35738
Florida,1/1/11,37584
Florida,1/1/12,36771
Florida,1/1/13,31359
Florida,1/1/14,28730
Florida,1/1/15,26325
Florida,1/1/16,24201
Georgia,1/1/07,12521
Georgia,1/1/08,13728
Georgia,1/1/09,14365
Georgia,1/1/10,14377
Georgia,1/1/11,15975
Georgia,1/1/12,15363
Georgia,1/1/13,12880
Georgia,1/1/14,12403
Georgia,1/1/15,9702
Georgia,1/1/16,9265
Hawaii,1/1/07,3335
Hawaii,1/1/08,3326
Hawaii,1/1/09,2941
Hawaii,1/1/10,2889
Hawaii,1/1/11,3195
Hawaii,1/1/12,3130
Hawaii,1/1/13,3355
Hawaii,1/1/14,3750
Hawaii,1/1/15,4307
Hawaii,1/1/16,4590
Idaho,1/1/07,1102
Idaho,1/1/08,817
Idaho,1/1/09,1117
Idaho,1/1/10,1445
Idaho,1/1/11,1310
Idaho,1/1/12,1175
Idaho,1/1/13,1084
Idaho,1/1/14,1234
Idaho,1/1/15,1172
Idaho,1/1/16,1284
Illinois,1/1/07,8653
Illinois,1/1/08,8356
Illinois,1/1/09,7475
Illinois,1/1/10,7568
Illinois,1/1/11,8173
Illinois,1/1/12,8269
Illinois,1/1/13,7958
Illinois,1/1/14,7350
Illinois,1/1/15,8152
Illinois,1/1/16,6986
Indiana,1/1/07,4734
Indiana,1/1/08,4937
Indiana,1/1/09,4151
Indiana,1/1/10,3588
